"mrun","rbd_cc","preferencia_postulante"
552442,"12830_231000000133",3
552442,"12958_231000000133",4
552442,"342_231000000133",5
566640,"365_231000000133",1
566640,"337_231000000133",2
566640,"31342_231000000133",3
566640,"12958_231000000133",4
566640,"336_231000000131",5
566640,"350_231000000131",6
566640,"356_231000000133",7
566640,"342_231000000133",8
566640,"12935_231000000133",9
566640,"12977_231000000133",10
566640,"31340_231000000133",11
566640,"12800_231000000133",12
566640,"341_231000000131",13
574269,"31342_131000000133",1
574269,"356_131000000133",2
574269,"283_131000000133",3
574269,"287_131000000133",4
581436,"287_711000000133",1
581436,"12943_711000000123",2
581436,"293_711000000133",3
586462,"219_131000000133",1
586462,"10967_131000000133",2
586462,"220_131000000133",3
586762,"12830_131000000133",1
586762,"12855_131000000133",2
586762,"356_131000000133",3
586762,"350_131000000131",4
586762,"304_131000000133",5
586762,"31342_131000000133",6
586887,"31340_711000000133",1
586887,"12963_711000000133",2
586887,"12885_711000000133",3
586887,"356_711000000133",4
587369,"12963_411000000133",1
587369,"12885_411000000133",2
587369,"31340_411000000133",3
587369,"12891_411000000133",4
587369,"12970_411000000133",5
592081,"12891_131000000133",1
592081,"12868_131000000133",2
592081,"285_131000000133",3
592557,"279_131000000133",1
592557,"10968_131000000133",2
592557,"286_131000000133",3
597743,"304_811000000133",1
597743,"12800_811000000131",2
597743,"356_811000000133",3
597743,"310_811000000133",4
603113,"287_131000000133",1
603113,"12943_131000000123",2
603113,"12830_131000000133",3
603113,"279_131000000133",4
603113,"356_131000000133",5
607138,"313_711000000133",1
607138,"12970_711000000133",2
607138,"12860_711000000131",3
608309,"12970_811000000133",1
608309,"12963_811000000133",2
608309,"12885_811000000133",3
608309,"287_811000000133",4
608309,"288_811000000133",5
613385,"12885_411000000133",1
613385,"12970_411000000133",2
613385,"12977_411000000133",3
613385,"12963_411000000133",4
613385,"312_411000000133",5
614763,"356_231000000133",1
614763,"335_231000000133",2
614763,"337_231000000133",3
614763,"12800_231000000133",4
614763,"350_231000000131",5
614763,"280_231000000133",6
624911,"12977_131000000133",1
624911,"287_131000000133",2
624911,"31342_131000000133",3
624911,"12943_131000000123",4
624911,"279_131000000133",5
624911,"12868_131000000133",6
626747,"12868_511000000133",1
626747,"12891_511000000133",2
629945,"31345_131000000133",1
629945,"31343_131000000133",2
632102,"356_811000000133",1
632102,"341_811000000131",2
632102,"287_811000000133",3
632102,"288_811000000133",4
638212,"12853_811000000133",1
638212,"10962_811000000131",2
642303,"12980_131000000133",1
642303,"256_131000000133",2
642303,"12838_131000000133",3
642303,"220_131000000133",4
642303,"12851_131000000133",5
645067,"12891_131000000133",1
645067,"12963_131000000133",2
645067,"12868_131000000133",3
645067,"12885_131000000133",4
645067,"12977_131000000133",5
645067,"31340_131000000133",6
645067,"287_131000000133",7
646645,"31340_411000000133",1
646645,"12837_411000000133",2
647437,"12853_131000000133",1
647437,"12851_131000000133",2
647437,"256_131000000133",3
647437,"12980_131000000133",4
647437,"10962_131000000133",5
647437,"253_131000000131",6
648593,"344_711000000131",1
649527,"279_131000000133",1
649527,"12943_131000000123",2
651884,"31340_131000000133",1
651884,"12963_131000000133",2
651884,"12885_131000000133",3
651884,"344_131000000131",4
655281,"365_431000000133",1
655281,"12800_431000000133",2
658661,"343_411000000132",1
658661,"12800_411000000132",2
658661,"341_411000000132",3
658661,"285_411000000133",4
658789,"341_811000000131",1
658789,"312_811000000133",2
658789,"287_811000000133",3
658789,"12891_811000000133",4
663110,"31340_711000000133",1
663110,"12970_711000000133",2
663110,"12885_711000000133",3
663110,"31342_711000000133",4
665030,"283_231000000133",1
665030,"280_231000000133",2
665030,"31345_231000000133",3
666598,"12800_231000000133",1
666598,"342_231000000133",2
666598,"356_231000000133",3
666598,"31342_231000000133",4
666598,"304_231000000133",5
672232,"12943_231000000123",1
672232,"279_231000000133",2
672232,"31343_231000000133",3
672232,"10968_231000000133",4
675187,"356_411000000133",1
675187,"306_411000000132",2
679941,"31340_811000000133",1
679941,"12885_811000000133",2
679941,"12970_811000000133",3
679941,"368_811000000133",4
682708,"326_611000000133",1
682751,"356_611000000133",1
682751,"342_611000000133",2
682751,"341_611000000132",3
683238,"10967_131000000133",1
683238,"219_131000000133",2
683238,"10970_131000000133",3
683238,"220_131000000133",4
683238,"20478_131000000133",5
683981,"341_131000000131",1
683981,"356_131000000133",2
683981,"12800_131000000133",3
683981,"12802_131000000111",4
683981,"344_131000000131",5
683981,"337_131000000133",6
683981,"350_131000000131",7
683981,"12891_131000000133",8
683981,"304_131000000133",9
683981,"12837_131000000133",10
683981,"329_131000000133",11
683981,"287_131000000133",12
683987,"10962_511000000131",1
683987,"12853_511000000133",2
683987,"12851_511000000133",3
683987,"10963_511000000133",4
685075,"217_131000000133",1
685075,"12980_131000000133",2
685075,"253_131000000131",3
685075,"10962_131000000133",4
685075,"12838_131000000133",5
685075,"256_131000000133",6
685075,"255_131000000133",7
685075,"12851_131000000133",8
687210,"279_351054019133",1
687210,"279_351054018133",2
687210,"31345_341041005133",3
687210,"12891_331000000133",4
688445,"350_231000000131",1
688445,"12830_231000000133",2
689721,"12823_411000000133",1
689721,"224_411000000133",2
689721,"232_411000000133",3
690071,"336_131000000131",1
690071,"12977_131000000133",2
692528,"12891_131000000133",1
692528,"12885_131000000133",2
692528,"12963_131000000133",3
692528,"341_131000000131",4
692951,"217_331000000133",1
692951,"10967_341041005133",2
693923,"226_511000000133",1
693923,"12810_511000000133",2
