"mrun","rbd_cc","preferencia_postulante"
121900,"12885_611000000133",4
121900,"12891_611000000133",5
121900,"316_611000000133",6
124990,"12943_351053014123",1
124990,"279_351056027133",2
124990,"10968_351052013133",3
124990,"12837_331000000133",4
125470,"342_511000000133",1
125470,"365_511000000133",2
125470,"337_511000000133",3
125470,"304_511000000133",4
125470,"31342_511000000133",5
125470,"313_511000000133",6
128869,"12891_711000000133",1
128869,"12837_711000000133",2
128869,"12868_711000000133",3
128869,"341_711000000131",4
128869,"305_711000000133",5
133872,"256_511000000133",1
136693,"12836_811000000133",1
136693,"255_811000000133",2
136693,"12871_811000000133",3
136693,"12823_811000000133",4
136864,"12963_411000000133",1
136864,"31340_411000000133",2
136864,"12891_411000000133",3
136864,"12885_411000000133",4
136864,"12977_411000000133",5
136864,"12970_411000000133",6
138871,"31340_131000000133",1
138871,"12885_131000000133",2
138871,"287_131000000133",3
138871,"350_131000000131",4
138871,"365_131000000133",5
143205,"367_131000000133",1
147436,"365_511000000133",1
147436,"337_511000000133",2
147436,"12800_511000000131",3
147436,"341_511000000132",4
147436,"31342_511000000133",5
147436,"12958_511000000133",6
147436,"298_511000000133",7
150581,"341_131000000131",1
150581,"350_131000000131",2
150581,"12935_131000000133",3
155719,"12962_511000000133",1
161246,"12943_131000000123",1
161246,"279_131000000133",2
161246,"10968_131000000133",3
165903,"31345_131000000133",1
165903,"10968_131000000133",2
165903,"12943_131000000123",3
168127,"10962_411000000131",1
168127,"256_411000000133",2
168127,"254_411000000113",3
170256,"10962_411000000131",1
170256,"12851_411000000133",2
170256,"256_411000000133",3
170256,"12838_411000000133",4
170256,"12853_411000000133",5
170256,"12810_411000000133",6
170477,"12970_611000000133",1
170477,"12963_611000000133",2
170477,"31340_611000000133",3
170477,"12885_611000000133",4
170477,"316_611000000133",5
170477,"297_611000000133",6
174722,"312_511000000133",1
174722,"285_511000000133",2
174722,"294_511000000133",3
174722,"12935_511000000133",4
174722,"306_511000000131",5
176527,"12853_411000000133",1
176527,"10962_411000000131",2
176527,"12851_411000000133",3
176527,"256_411000000133",4
178024,"344_611000000131",1
178024,"12868_611000000133",2
178024,"12840_611000000133",3
179786,"12830_131000000133",1
179786,"12943_131000000123",2
179786,"356_131000000133",3
179786,"350_131000000131",4
179786,"12891_131000000133",5
179786,"12868_131000000133",6
180479,"12980_411000000133",1
180479,"228_411000000133",2
181982,"12830_131000000133",1
181982,"336_131000000131",2
181982,"12963_131000000133",3
181982,"31342_131000000133",4
181982,"12868_131000000133",5
181982,"341_131000000131",6
182791,"12837_711000000133",1
182791,"12891_711000000133",2
182794,"344_711000000131",1
182794,"12970_711000000133",2
182794,"12977_711000000133",3
182794,"337_711000000133",4
182794,"12943_711000000123",5
182794,"288_711000000133",6
187813,"31340_231000000133",1
187813,"12885_231000000133",2
187813,"12963_231000000133",3
187813,"12977_231000000133",4
187813,"367_231000000133",5
190452,"12836_811000000133",1
190452,"227_811000000133",2
192600,"285_711000000133",1
192600,"317_711000000133",2
193184,"342_311000000133",1
193184,"356_311000000133",2
193184,"343_311000000132",3
194968,"12943_711000000123",1
194968,"12868_711000000133",2
194968,"12891_711000000133",3
194968,"12837_711000000133",4
194968,"31343_711000000133",5
194968,"317_711000000133",6
200139,"31345_231000000133",1
200139,"283_231000000133",2
201567,"356_811000000133",1
201567,"336_811000000131",2
205102,"12830_131000000133",1
205102,"342_131000000133",2
205102,"287_131000000133",3
206341,"218_131000000133",1
206341,"20478_131000000133",2
206341,"10970_131000000133",3
207886,"337_611000000133",1
207886,"356_611000000133",2
207886,"350_611000000131",3
207886,"12962_611000000133",4
213223,"31342_411000000133",1
213223,"342_411000000133",2
213223,"356_411000000133",3
213223,"341_411000000132",4
213223,"12958_411000000133",5
213223,"284_411000000133",6
214446,"12970_131000000133",1
214446,"12885_131000000133",2
217985,"337_131000000133",1
217985,"12935_131000000133",2
217985,"341_131000000131",3
217985,"342_131000000133",4
217985,"12958_131000000133",5
217985,"304_131000000133",6
217985,"12885_131000000133",7
217985,"356_131000000133",8
217985,"336_131000000131",9
217985,"12970_131000000133",10
217985,"12977_131000000133",11
217985,"287_131000000133",12
219178,"12836_131000000133",1
219178,"10967_131000000133",2
219178,"217_131000000133",3
222231,"335_711000000133",1
222231,"302_711000000133",2
222231,"285_711000000133",3
222866,"279_231000000133",1
222866,"10968_231000000133",2
222866,"31343_231000000133",3
225849,"12935_131000000133",1
225849,"356_131000000133",2
225849,"337_131000000133",3
225849,"350_131000000131",4
225849,"344_131000000131",5
225849,"304_131000000133",6
230128,"12970_511000000133",1
230128,"12878_511000000131",2
231353,"12891_131000000133",1
231353,"12885_131000000133",2
231353,"31340_131000000133",3
231659,"12943_351053015123",1
231659,"356_331000000133",2
231659,"12943_351053014123",3
231659,"12935_331000000133",4
231659,"341_331000000131",5
231659,"287_331000000133",6
232688,"10970_131000000133",1
232688,"10967_131000000133",2
232688,"220_131000000133",3
235411,"217_131000000133",1
235411,"20478_131000000133",2
235411,"10970_131000000133",3
236189,"337_511000000133",1
236189,"356_511000000133",2
236189,"350_511000000131",3
236189,"296_511000000133",4
236189,"298_511000000133",5
237714,"12891_511000000133",1
237714,"12868_511000000133",2
237714,"344_511000000131",3
237714,"12970_511000000133",4
237714,"317_511000000133",5
238246,"217_331000000133",1
238246,"254_331000000113",2
241288,"342_711000000133",1
241288,"336_711000000131",2
241288,"12958_711000000133",3
241288,"31342_711000000133",4
241288,"288_711000000133",5
243663,"12943_131000000123",1
243663,"356_131000000133",2
243663,"337_131000000133",3
243663,"350_131000000131",4
243663,"12935_131000000133",5
243663,"31342_131000000133",6
243663,"12958_131000000133",7
246313,"337_131000000133",1
246313,"12935_131000000133",2
246313,"350_131000000131",3
246313,"283_131000000133",4
246313,"356_131000000133",5
246313,"341_131000000131",6
246313,"342_131000000133",7
246402,"31340_711000000133",1
246402,"12963_711000000133",2
246402,"12885_711000000133",3
249139,"287_711000000133",1
249139,"356_711000000133",2
249139,"31342_711000000133",3
249139,"12958_711000000133",4
250028,"240_711000000133",1
250028,"224_711000000133",2
250028,"230_711000000133",3
250028,"313_711000000133",4
251756,"12871_611000000133",1
251756,"10963_611000000133",2
251756,"231_611000000133",3
251756,"12836_611000000133",4
253541,"341_131000000131",1
253541,"336_131000000131",2
253541,"283_131000000133",3
253541,"12958_131000000133",4
254297,"12860_411000000131",1
254297,"344_411000000131",2
254297,"356_411000000133",3
254297,"12891_411000000133",4
258678,"367_131000000133",1
259917,"253_511000000132",1
259917,"255_511000000133",2
259917,"224_511000000133",3
260631,"342_131000000133",1
260631,"283_131000000133",2
260631,"285_131000000133",3
