"rbd_cc","vacantes"
"239_211000000133",14
"239_311000000133",10
"239_411000000133",4
"239_511000000133",8
"239_611000000133",4
"239_711000000133",2
"239_811000000133",5
"240_111000000133",78
"240_211000000133",9
"240_311000000133",9
"240_411000000133",4
"240_511000000133",5
"240_611000000133",1
"240_711000000133",4
"240_811000000133",4
"243_111000000133",14
"243_211000000133",11
"243_311000000133",5
"243_411000000133",6
"243_511000000133",5
"243_611000000133",6
"243_711000000133",0
"243_811000000133",3
"246_401000000131",3
"246_501000000131",1
"246_111000000133",2
"246_211000000133",5
"246_311000000133",2
"246_411000000133",0
"246_511000000133",1
"246_611000000133",1
"246_711000000133",1
"246_811000000133",5
"248_111000000133",3
"248_211000000133",3
"248_311000000133",2
"248_411000000133",3
"248_511000000133",2
"248_611000000133",3
"248_711000000133",3
"252_111000000133",14
"252_211000000133",0
"252_311000000133",3
"252_411000000133",0
"252_511000000133",0
"252_611000000133",3
"252_711000000133",3
"252_811000000133",2
"253_501000000131",30
"253_501000000132",30
"253_111000000132",30
"253_211000000132",10
"253_311000000132",11
"253_411000000132",5
"253_511000000132",2
"253_611000000132",7
"253_711000000131",3
"253_811000000131",2
"253_131000000131",17
"253_231000000131",12
"253_331000000131",9
"253_431000000131",6
"254_111000000113",90
"254_211000000113",15
"254_311000000113",20
"254_411000000113",15
"254_511000000113",8
"254_611000000113",23
"254_711000000113",38
"254_811000000113",27
"254_131000000113",57
"254_231000000113",41
"254_331000000113",31
"254_431000000113",50
"255_501000000131",45
"255_501000000132",45
"255_111000000133",21
"255_211000000133",4
"255_311000000133",8
"255_411000000133",8
"255_511000000133",6
"255_611000000133",6
"255_711000000133",12
"255_811000000133",13
"255_131000000133",24
"255_231000000133",8
"255_331000000133",17
"255_431000000133",19
"256_111000000133",140
"256_211000000133",8
"256_311000000133",11
"256_411000000133",10
"256_511000000133",9
"256_611000000133",13
"256_711000000133",15
"256_811000000133",13
"256_131000000133",11
"256_231000000133",7
"256_331000000133",12
"256_431000000133",6
"268_111000000133",5
"268_211000000133",2
"268_311000000133",0
"268_411000000133",1
"268_511000000133",0
"268_611000000133",4
"268_711000000133",0
"268_811000000133",1
"268_131000000133",3
"268_231000000133",1
"269_401000000132",120
"269_501000000131",1
"269_111000000133",18
"269_211000000133",1
"269_311000000133",12
"269_411000000133",10
"269_511000000133",17
"269_611000000133",25
"270_401000000133",20
"270_501000000133",20
"270_111000000133",13
"270_211000000133",13
"270_311000000133",15
"270_411000000133",6
"270_511000000133",13
"270_611000000133",11
"270_711000000133",16
"270_811000000133",7
"270_131000000133",12
"270_231000000133",11
"270_331000000133",27
"270_431000000133",23
"271_111000000133",5
"271_211000000133",3
"271_311000000133",1
"271_411000000133",3
"271_511000000133",5
"271_611000000133",1
"273_111000000133",5
"273_211000000133",1
"273_311000000133",0
"273_411000000133",0
"273_511000000133",1
"273_611000000133",0
"274_111000000133",10
"274_211000000133",7
"274_311000000133",5
"274_411000000133",8
"274_511000000133",7
"274_611000000133",8
"275_111000000133",5
"275_211000000133",5
"275_311000000133",5
"275_411000000133",4
"275_511000000133",3
"275_611000000133",4
"276_111000000133",5
"276_211000000133",1
"276_311000000133",2
"276_411000000133",2
"276_511000000133",3
"276_611000000133",5
"277_401000000133",10
"277_501000000133",4
"277_111000000133",7
"277_211000000133",3
"277_311000000133",7
"277_411000000133",3
"277_511000000133",6
"277_611000000133",7
"279_131000000133",380
"279_231000000133",46
"279_351051003133",0
"279_351051009133",2
"279_351052009133",5
"279_351052010133",2
"279_351052013133",3
"279_351053014133",3
"279_351053015133",5
"279_351054018133",2
"279_351054019133",1
"279_351056027133",1
"279_451051003133",1
"279_451051009133",7
"279_451052009133",0
"279_451052010133",1
"279_451052013133",12
"279_451053014133",14
"279_451053015133",7
"279_451054018133",2
"279_451054019133",0
"279_451056027133",5
"280_811000000133",5
"280_131000000133",326
"280_231000000133",85
"280_341041002133",20
"280_341041005133",31
"280_441041002133",19
"280_441041005133",31
"283_131000000133",231
"283_231000000133",41
"283_361061003133",7
"283_361063009133",0
"283_361064001133",21
"283_361064008133",1
"283_461061003133",0
"283_461063009133",0
"283_461064001133",11
"283_461064008133",1
"284_401000000131",34
"284_501000000131",7
"284_501000000132",9
"284_111000000133",27
"284_211000000133",24
"284_311000000133",16
"284_411000000133",13
"284_511000000133",12
"284_611000000133",8
"284_711000000133",6
"284_811000000133",8
"284_131000000133",136
"284_231000000133",68
"284_331000000133",40
"284_431000000133",27
"285_501000000131",60
"285_111000000133",34
"285_211000000133",18
"285_311000000133",17
"285_411000000133",23
"285_511000000133",14
"285_611000000133",9
"285_711000000133",10
"285_811000000133",8
"285_131000000133",48
"285_231000000133",30
"285_331000000133",25
"285_431000000133",12
"286_131000000133",189
"286_231000000133",57
"286_331000000133",4
"286_351055022133",0
"286_351058035133",0
"286_361061003133",2
"286_361064001133",1
"286_431000000133",6
"286_451055022133",3
"286_451058035133",5
"286_461061003133",10
"286_461064001133",4
"287_711000000133",30
"287_811000000133",3
"287_131000000133",207
"287_231000000133",43
"287_331000000133",40
"287_431000000133",23
"288_111000000131",111
"288_211000000131",12
"288_311000000133",10
"288_411000000133",17
"288_511000000133",12
"288_611000000133",9
"288_711000000133",36
"288_811000000133",32
"289_401000000132",60
"289_501000000131",15
"289_111000000133",21
"289_211000000133",11
"289_311000000133",12
"289_411000000133",7
"289_511000000133",20
"289_611000000133",11
"289_711000000133",7
"289_811000000133",12
"291_501000000131",30
"291_501000000132",30
"291_111000000133",87
"291_211000000133",50
"291_311000000133",33
"291_411000000133",42
"291_511000000133",37
"291_611000000133",34
"291_711000000133",31
"291_811000000133",36
"292_401000000132",66
"292_501000000131",19
"292_111000000133",41
"292_211000000133",41
"292_311000000133",15
"292_411000000133",21
"292_511000000133",24
"292_611000000133",19
"292_711000000133",28
"292_811000000133",20
"293_401000000132",81
"293_501000000131",20
"293_111000000133",52
"293_211000000133",16
"293_311000000133",18
"293_411000000133",12
"293_511000000133",16
"293_611000000133",8
"293_711000000133",27
"293_811000000133",21
"294_111000000133",96
"294_211000000133",43
"294_311000000133",40
"294_411000000133",24
"294_511000000133",22
"294_611000000133",15
"294_711000000133",29
"294_811000000133",19
"296_501000000133",50
"296_111000000133",29
"296_211000000133",10
"296_311000000133",17
"296_411000000133",14
"296_511000000133",11
"296_611000000133",7
"296_711000000133",13
"296_811000000133",15
"297_401000000133",35
"297_501000000133",10
"297_111000000133",48
"297_211000000133",19
"297_311000000133",23
"297_411000000133",15
"297_511000000133",14
"297_611000000133",19
"297_711000000133",12
"297_811000000133",16
"298_401000000133",30
"298_501000000133",7
"298_111000000133",38
"298_211000000133",18
"298_311000000133",15
"298_411000000133",17
"298_511000000133",13
"298_611000000133",12
"298_711000000133",17
"298_811000000133",27
"301_401000000132",50
"301_501000000131",5
"301_111000000133",10
"301_211000000133",6
"301_311000000133",3
"301_411000000133",10
"301_511000000133",22
"301_611000000133",14
"301_711000000133",14
"301_811000000133",22
"302_401000000132",60
"302_501000000131",22
"302_111000000133",20
"302_211000000133",21
"302_311000000133",21
"302_411000000133",12
"302_511000000133",21
"302_611000000133",20
"302_711000000133",19
"302_811000000133",21
"303_401000000131",28
"303_401000000132",28
"303_501000000131",4
"303_501000000132",7
"303_111000000132",30
"303_211000000132",17
"303_311000000132",15
"303_411000000132",12
"303_511000000131",18
"303_611000000131",9
"303_711000000131",16
"303_811000000131",20
"304_401000000132",75
"304_501000000131",4
"304_111000000133",11
"304_211000000133",12
"304_311000000133",1
"304_411000000133",14
"304_511000000133",8
"304_611000000133",8
"304_711000000133",36
"304_811000000133",5
"304_131000000133",19
"304_231000000133",15
"304_331000000133",7
"304_431000000133",0
"305_401000000132",78
"305_501000000131",17
"305_111000000131",52
"305_211000000131",15
"305_311000000133",13
"305_411000000133",24
"305_511000000133",13
"305_611000000133",20
"305_711000000133",28
"305_811000000133",10
"306_401000000132",25
"306_501000000131",6
"306_111000000132",14
"306_211000000132",6
"306_311000000132",7
"306_411000000132",3
"306_511000000131",5
"306_611000000131",8
"306_711000000131",3
"306_811000000131",5
"310_401000000132",40
"310_501000000131",16
"310_111000000133",23
"310_211000000133",8
"310_311000000133",9
"310_411000000133",14
"310_511000000133",3
"310_611000000133",9
"310_711000000133",12
"310_811000000133",11
"312_401000000131",24
"312_401000000132",24
"312_501000000131",7
"312_501000000132",14
"312_111000000133",21
"312_211000000133",9
"312_311000000133",14
"312_411000000133",9
"312_511000000133",13
"312_611000000133",13
"312_711000000133",11
"312_811000000133",16
"313_401000000131",25
"313_401000000133",25
"313_501000000131",25
"313_501000000133",6
"313_111000000133",59
"313_211000000133",23
"313_311000000133",22
"313_411000000133",9
"313_511000000133",16
"313_611000000133",7
"313_711000000133",26
"313_811000000133",13
"315_401000000132",35
"315_501000000131",12
"315_111000000133",58
"315_211000000133",18
"315_311000000133",20
"315_411000000133",10
"315_511000000133",25
"315_611000000133",15
"315_711000000133",19
"315_811000000133",29
"316_401000000131",30
"316_501000000133",5
"316_111000000133",37
"316_211000000133",17
"316_311000000133",8
"316_411000000133",11
"316_511000000133",7
"316_611000000133",9
"317_401000000132",60
"317_501000000131",12
"317_111000000133",70
"317_211000000133",39
"317_311000000133",39
"317_411000000133",23
"317_511000000133",28
"317_611000000133",17
"317_711000000133",30
"317_811000000133",17
"318_401000000132",35
"318_501000000131",8
"318_111000000133",8
"318_211000000133",3
"318_311000000133",4
"318_411000000133",9
"318_511000000133",12
"318_611000000133",6
"318_711000000133",13
"318_811000000133",14
"319_401000000132",54
"319_501000000131",10
"319_111000000133",56
"319_211000000133",11
"319_311000000133",11
"319_411000000133",11
"319_511000000133",17
"319_611000000133",7
"319_711000000133",18
"319_811000000133",23
"322_401000000132",60
"322_501000000131",22
"322_111000000133",11
"322_211000000133",24
"322_311000000133",9
"322_411000000133",14
"322_511000000133",15
"322_611000000133",8
"322_711000000133",7
"322_811000000133",15
"324_401000000133",35
"324_501000000133",3
"324_111000000133",40
"324_211000000133",14
"324_311000000133",10
"324_411000000133",19
"324_511000000133",23
"324_611000000133",6
"324_711000000133",15
"324_811000000133",10
"326_401000000132",50
"326_501000000131",4
"326_111000000133",31
"326_211000000133",11
"326_311000000133",12
"326_411000000133",8
"326_511000000133",16
"326_611000000133",15
"326_711000000133",9
"326_811000000133",10
"329_401000000133",35
"329_501000000133",5
"329_111000000133",6
"329_211000000133",5
"329_311000000133",5
"329_411000000133",1
"329_511000000133",4
"329_611000000133",1
"329_711000000133",8
"329_811000000133",14
"329_131000000133",9
"329_231000000133",8
"329_331000000133",2
"329_431000000133",0
"332_401000000132",30
"332_501000000131",4
"332_111000000131",26
"332_111000000132",11
"332_211000000131",0
"332_211000000132",4
"332_311000000133",22
"332_411000000133",10
"332_511000000133",8
"332_611000000133",11
"332_711000000133",11
"332_811000000133",19
"335_401000000132",44
"335_501000000131",7
"335_111000000133",5
"335_211000000133",4
"335_311000000133",6
"335_411000000133",10
"335_511000000133",2
"335_611000000133",4
"335_711000000133",4
"335_811000000133",4
