"rbd_cc","vacantes"
"93_211000000133",2
"93_311000000133",1
"93_411000000133",1
"93_511000000133",1
"93_611000000133",2
"94_111000000133",2
"94_211000000133",0
"94_311000000133",1
"94_411000000133",1
"94_511000000133",0
"94_611000000133",1
"95_111000000133",1
"95_211000000133",1
"95_311000000133",1
"95_411000000133",1
"95_511000000133",1
"95_611000000133",1
"10887_111000000133",3
"10887_211000000133",2
"10887_311000000133",1
"10887_411000000133",1
"10887_511000000133",1
"10887_611000000133",1
"10892_401000000231",96
"10892_401000000232",96
"10892_501000000231",24
"10892_501000000232",37
"10892_111000000231",6
"10892_111000000232",56
"10892_211000000231",18
"10892_211000000232",21
"10892_311000000233",9
"10892_411000000233",12
"10892_511000000233",13
"10892_611000000233",13
"10892_711000000233",11
"10892_811000000233",13
"10892_131000000133",21
"10892_231000000133",8
"10892_331000000133",8
"10892_431000000133",13
"10893_401000000131",35
"10893_501000000132",10
"10893_111000000132",45
"10893_211000000132",24
"10893_311000000132",13
"10893_411000000132",2
"10893_511000000131",12
"10893_611000000131",16
"10893_711000000131",10
"10893_811000000131",8
"10897_111000000133",2
"10897_211000000133",2
"10897_311000000133",2
"10897_411000000133",1
"10897_511000000133",2
"10897_611000000133",1
"10906_501000000131",20
"10906_501000000132",20
"10906_111000000133",1
"10906_211000000133",2
"10906_311000000133",0
"10906_411000000133",0
"10906_511000000133",0
"10906_611000000133",0
"10906_711000000133",0
"10906_811000000133",0
"10906_131000000133",1
"10906_231000000133",1
"10906_331000000133",5
"10906_431000000133",1
"10911_131000000133",222
"10911_231000000133",70
"10911_351053015133",24
"10911_351054018133",2
"10911_361064008133",21
"10911_451053015133",26
"10911_451054018133",8
"10911_461064008133",13
"10912_111000000133",1
"10912_211000000133",1
"10912_311000000133",1
"10912_411000000133",1
"10912_511000000133",1
"10912_611000000133",1
"10915_401000000131",25
"10915_401000000132",25
"10915_501000000131",20
"10915_501000000132",22
"10915_111000000132",31
"10915_211000000132",15
"10915_311000000133",4
"10915_411000000133",7
"10915_511000000133",3
"10915_611000000133",3
"10915_711000000133",4
"10915_811000000133",5
"10915_131000000133",11
"10915_231000000133",6
"10915_331000000133",9
"10915_431000000133",6
"12501_401000000133",36
"12501_501000000133",8
"12501_111000000133",3
"12501_211000000133",2
"12501_311000000133",3
"12501_411000000133",2
"12501_511000000133",0
"12501_611000000133",0
"12501_711000000133",5
"12501_811000000133",1
"12505_111000000132",30
"12505_211000000132",14
"12505_311000000132",4
"12505_411000000132",3
"12505_511000000131",9
"12505_611000000131",14
"12505_711000000131",16
"12505_811000000131",4
"12539_401000000133",25
"12539_501000000133",8
"12539_111000000133",21
"12539_211000000133",16
"12539_311000000133",10
"12539_411000000133",9
"12539_511000000133",14
"12539_611000000133",7
"12539_711000000133",8
"12539_811000000133",11
"12547_401000000133",105
"12547_501000000133",69
"12547_111000000133",62
"12547_211000000133",31
"12547_311000000133",30
"12547_411000000133",11
"12547_511000000133",20
"12547_611000000133",11
"12547_711000000133",3
"12547_811000000133",11
"12547_131000000133",63
"12547_231000000133",15
"12547_331000000133",7
"12547_341041005133",33
"12547_431000000133",37
"12547_441041005133",12
"12570_401000000131",175
"12570_501000000132",59
"12570_111000000133",23
"12570_211000000133",16
"12570_311000000133",20
"12570_411000000133",10
"12570_511000000133",15
"12570_611000000133",18
"12570_711000000133",13
"12570_811000000133",10
"12587_111000000131",84
"12587_211000000131",26
"12587_311000000133",21
"12587_411000000133",11
"12587_511000000133",23
"12587_611000000133",24
"12587_711000000133",20
"12587_811000000133",13
"12587_131000000133",41
"12587_231000000133",21
"12587_331000000133",20
"12587_431000000133",24
"12610_131000000133",108
"12610_231000000133",28
"12610_341041002133",21
"12610_341041005133",5
"12610_351058033133",8
"12610_361064001133",17
"12610_441041002133",12
"12610_441041005133",8
"12610_451058033133",18
"12610_461064001133",6
"12630_401000000133",30
"12630_501000000133",30
"12630_111000000133",28
"12630_211000000133",27
"12630_311000000133",24
"12630_411000000133",11
"12630_511000000133",20
"12630_611000000133",20
"12630_711000000133",11
"12630_811000000133",10
"12630_131000000133",19
"12630_231000000133",12
"12630_351053015133",8
"12630_351058034133",15
"12630_361061003133",3
"12630_451053015133",9
"12630_451058034133",17
"12630_461061003133",2
"12658_711000000133",30
"12658_811000000133",16
"12658_131000000133",9
"12658_231000000133",1
"12658_371072007133",9
"12658_471072007133",7
