"mrun","rbd_cc","preferencia_postulante"
20532937,"12716_511000000133",2
20533650,"56_131000000133",1
20533650,"10906_131000000133",2
20533650,"45_131000000113",3
20534554,"60_331000000133",1
20534554,"10915_331000000133",2
20537206,"67_611000000132",1
20537206,"10892_611000000233",2
20537206,"30003_611000000133",3
20537206,"5_611000000133",4
20537206,"12547_611000000133",5
20537206,"10915_611000000133",6
20537206,"30001_611000000133",7
20537206,"9_611000000133",8
20550819,"4_131000000133",1
20550819,"7_131000000133",2
20554181,"12547_131000000133",1
20554181,"12610_131000000133",2
20557617,"4_131000000133",1
20557617,"10892_131000000133",2
20557617,"45_131000000113",3
20557617,"12587_131000000133",4
20557617,"52_131000000133",5
20573554,"12587_131000000133",1
20573554,"10911_131000000133",2
20573554,"25_131000000133",3
20575053,"12712_411000000133",1
20575053,"40230_411000000133",2
20575053,"17_411000000133",3
20576091,"4_131000000133",1
20576091,"5_131000000133",2
20578128,"10915_131000000133",1
20578128,"60_131000000133",2
20578128,"12587_131000000133",3
20590233,"1_131000000131",1
20590233,"7_131000000133",2
20590233,"12547_131000000133",3
20590233,"10911_131000000133",4
20609041,"10911_131000000133",1
20609041,"12610_131000000133",2
20609041,"52_131000000133",3
20609041,"25_131000000133",4
20609204,"30005_411000000133",1
20609204,"16_411000000133",2
20609204,"26_411000000133",3
20609204,"30001_411000000133",4
20609204,"10_411000000113",5
20611201,"4_131000000133",1
20611201,"52_131000000133",2
20615525,"4_131000000133",1
20615525,"56_131000000133",2
20615525,"30001_131000000133",3
20615525,"12713_131000000133",4
20615525,"12587_131000000133",5
20616000,"12713_131000000133",1
20616000,"4_131000000133",2
20616000,"5_131000000133",3
20616000,"30001_131000000133",4
20616000,"12610_131000000133",5
20628578,"12610_131000000133",1
20628578,"10911_131000000133",2
20633730,"10915_131000000133",1
20633730,"4_131000000133",2
20633730,"56_131000000133",3
20633730,"12712_131000000133",4
20633730,"10892_131000000133",5
20633730,"67_131000000131",6
20633730,"40230_131000000133",7
20640676,"12547_231000000133",1
20640676,"12610_231000000133",2
20640676,"30003_231000000133",3
20640676,"52_231000000133",4
20645331,"12713_711000000133",1
20648940,"5_131000000133",1
20648940,"4_131000000133",2
20657476,"10892_611000000233",1
20657476,"5_611000000133",2
20657476,"30003_611000000133",3
20657476,"12547_611000000133",4
20657476,"10915_611000000133",5
20657476,"52_611000000133",6
20657476,"45_611000000113",7
20659262,"10911_131000000133",1
20659262,"12587_131000000133",2
20659262,"4_131000000133",3
20659262,"12712_131000000133",4
20661086,"1_131000000131",1
20661086,"7_131000000133",2
20677630,"52_481081004133",1
20677630,"10911_451054018133",2
20677630,"7_451053014133",3
20677630,"78_471072007133",4
20684222,"4_131000000133",1
20684222,"5_131000000133",2
20684222,"30003_131000000133",3
20684222,"12610_131000000133",4
20685847,"7_131000000133",1
20685847,"5_131000000133",2
20685847,"52_131000000133",3
20695889,"12501_311000000133",1
20695889,"52_311000000133",2
20695889,"10893_311000000132",3
20708902,"4_431000000133",1
20708902,"56_431000000133",2
20708902,"10892_431000000133",3
20708902,"67_431000000131",4
20708902,"30001_431000000133",5
20708902,"12587_431000000133",6
20735766,"4_131000000133",1
20735766,"12630_131000000133",2
20735766,"10892_131000000133",3
20735766,"5_131000000133",4
20740204,"67_411000000132",1
20740204,"56_411000000133",2
20740204,"52_411000000133",3
20740204,"30006_411000000133",4
20740204,"10915_411000000133",5
20740204,"10906_411000000133",6
20740204,"60_411000000133",7
20740204,"30003_411000000133",8
20740204,"10892_411000000233",9
20740204,"12570_411000000133",10
20740204,"30005_411000000133",11
20740204,"13_411000000133",12
20740204,"5_411000000133",13
20740204,"12630_411000000133",14
20740204,"12587_411000000133",15
20740204,"30001_411000000133",16
20740204,"40230_411000000133",17
20740204,"12712_411000000133",18
20740204,"25_411000000133",19
20740204,"12713_411000000133",20
20745169,"12610_131000000133",1
20745169,"7_131000000133",2
20745169,"4_131000000133",3
20745169,"12716_131000000133",4
20745169,"52_131000000133",5
20745169,"5_131000000133",6
20745169,"10911_131000000133",7
20748281,"12547_711000000133",1
20748281,"12712_711000000133",2
20781685,"4_131000000133",1
20781685,"5_131000000133",2
20781685,"10911_131000000133",3
20781685,"10892_131000000133",4
20781685,"25_131000000133",5
20781685,"12713_131000000133",6
20793984,"4_231000000133",1
20793984,"25_231000000133",2
20796723,"4_131000000133",1
20796723,"10892_131000000133",2
20796723,"12610_131000000133",3
20796723,"5_131000000133",4
20803888,"12716_131000000133",1
20803888,"52_131000000133",2
20810504,"12713_611000000133",1
20810504,"12587_611000000133",2
20810504,"12712_611000000133",3
20858822,"10892_231000000133",1
20858822,"4_231000000133",2
20858822,"45_231000000113",3
20858822,"30003_231000000133",4
20858822,"8_231000000133",5
20876256,"4_131000000133",1
20876256,"5_131000000133",2
20876256,"12547_131000000133",3
20876256,"1_131000000131",4
20876559,"50_611000000133",1
20876559,"12712_611000000133",2
20876559,"30006_611000000133",3
20876559,"12694_611000000133",4
20876559,"40395_611000000133",5
20876559,"25_611000000133",6
20879003,"4_131000000133",1
20879003,"5_131000000133",2
20879003,"30001_131000000133",3
20897480,"7_351053014133",1
20897480,"7_351053015133",2
20897480,"7_351058034133",3
20897480,"1_351053014131",4
20897480,"1_351053015131",5
20897480,"1_351052013131",6
20897480,"12547_341041005133",7
20897480,"10915_331000000133",8
20897480,"12716_341041005133",9
20897480,"12716_331000000133",10
20897480,"32_371072007133",11
20897766,"4_131000000133",1
20897766,"56_131000000133",2
20897766,"10915_131000000133",3
20897766,"60_131000000133",4
20897766,"10892_131000000133",5
20897766,"67_131000000131",6
20897766,"12547_131000000133",7
20897766,"8_131000000133",8
20906120,"12587_411000000133",1
20906120,"56_411000000133",2
20906120,"30001_411000000133",3
20906120,"10915_411000000133",4
20906120,"12720_411000000133",5
20911952,"30005_811000000133",1
20919556,"10915_231000000133",1
20919556,"10892_231000000133",2
20919556,"60_231000000133",3
20919556,"4_231000000133",4
20919556,"5_231000000133",5
20919556,"52_231000000133",6
20930791,"52_131000000133",1
20930791,"10911_131000000133",2
20930791,"4_131000000133",3
20930791,"1_131000000131",4
20936477,"12713_331000000133",1
20936477,"40230_351052010133",2
20950304,"12547_341041005133",1
20967379,"30001_131000000133",1
20967379,"4_131000000133",2
20967379,"10911_131000000133",3
20970810,"12610_131000000133",1
20970810,"1_131000000131",2
20997679,"4_231000000133",1
20997679,"56_231000000133",2
20997679,"12587_231000000133",3
21000180,"52_131000000133",1
21000180,"56_131000000133",2
21000180,"4_131000000133",3
21000989,"56_131000000133",1
21000989,"4_131000000133",2
21000989,"10906_131000000133",3
21000989,"67_131000000131",4
21000989,"45_131000000113",5
21000989,"10892_131000000133",6
21014593,"12716_131000000133",1
21014593,"7_131000000133",2
21014593,"30003_131000000133",3
21021586,"30003_811000000133",1
21021586,"30001_811000000133",2
21021586,"12713_811000000133",3
21021586,"12587_811000000133",4
21028854,"4_131000000133",1
21028854,"30001_131000000133",2
21031526,"1_131000000131",1
21031526,"7_131000000133",2
21031526,"12630_131000000133",3
21031526,"52_131000000133",4
21041202,"4_131000000133",1
21041202,"10892_131000000133",2
21041202,"5_131000000133",3
21047248,"5_131000000133",1
21047248,"10892_131000000133",2
21047248,"4_131000000133",3
21047248,"30003_131000000133",4
21047248,"12587_131000000133",5
21047248,"8_131000000133",6
21059890,"4_231000000133",1
21059890,"25_231000000133",2
21071075,"50_511000000133",1
21071075,"9_511000000133",2
21077431,"12_811000000133",1
21077431,"12547_811000000133",2
21077431,"10906_811000000133",3
21077431,"52_811000000133",4
21081603,"10915_511000000133",1
21081603,"10892_511000000233",2
21081603,"56_511000000133",3
21081603,"9_511000000133",4
21082786,"13_511000000133",1
21082786,"14_511000000133",2
21082786,"29_511000000133",3
21082786,"22_511000000133",4
21091373,"7_131000000133",1
21091373,"1_131000000131",2
21091373,"12610_131000000133",3
21094027,"10915_311000000133",1
21094027,"31_311000000133",2
21103420,"56_711000000133",1
21103420,"67_711000000131",2
21103420,"12713_711000000133",3
21104929,"5_131000000133",1
21104929,"4_131000000133",2
21104929,"12587_131000000133",3
21104929,"12720_131000000133",4
21104929,"25_131000000133",5
21118790,"45_511000000113",1
21118790,"30003_511000000133",2
21118790,"25_511000000133",3
21136548,"12713_231000000133",1
21136548,"40230_231000000133",2
21136768,"7_131000000133",1
21136768,"1_131000000131",2
21136768,"4_131000000133",3
21142940,"60_231000000133",1
21142940,"50_231000000133",2
21149866,"56_131000000133",1
21149866,"4_131000000133",2
21149866,"52_131000000133",3
21151856,"10892_131000000133",1
21151856,"12713_131000000133",2
21151856,"5_131000000133",3
21151856,"10915_131000000133",4
21152421,"52_611000000133",1
21157570,"12713_231000000133",1
21157570,"30001_231000000133",2
21157570,"52_231000000133",3
21158679,"12716_611000000133",1
21158679,"10892_611000000233",2
21158679,"8_611000000133",3
21158679,"30003_611000000133",4
21159749,"12587_131000000133",1
21159749,"12610_131000000133",2
21159749,"5_131000000133",3
21159749,"60_131000000133",4
21166888,"10906_611000000133",1
21166888,"45_611000000113",2
21169788,"12713_131000000133",1
21169788,"10892_131000000133",2
21169788,"4_131000000133",3
21169788,"30003_131000000133",4
21169788,"12587_131000000133",5
21169788,"10906_131000000133",6
21169788,"52_131000000133",7
21169788,"12547_131000000133",8
21177868,"1_131000000131",1
21177868,"12716_131000000133",2
21177868,"7_131000000133",3
21182423,"7_361061003133",1
21182423,"52_381081004133",2
21185526,"4_131000000133",1
21185526,"10915_131000000133",2
21185526,"10906_131000000133",3
21185526,"30001_131000000133",4
21185526,"45_131000000113",5
21186447,"52_131000000133",1
21186447,"7_131000000133",2
21186447,"4_131000000133",3
21186447,"12610_131000000133",4
21186447,"60_131000000133",5
21186447,"12547_131000000133",6
21190910,"12610_361064001133",1
21190910,"12712_331000000133",2
21196268,"4_131000000133",1
21196268,"56_131000000133",2
21196268,"40230_131000000133",3
21207473,"60_611000000133",1
21207473,"52_611000000133",2
21207473,"5_611000000133",3
21207473,"10892_611000000233",4
21207473,"40395_611000000133",5
21207473,"28_611000000133",6
21216460,"4_131000000133",1
21216460,"5_131000000133",2
21216460,"52_131000000133",3
21216460,"7_131000000133",4
21219005,"7_131000000133",1
21219005,"1_131000000131",2
21225686,"30005_511000000133",1
21225686,"5_511000000133",2
21239057,"45_411000000113",1
21271748,"1_131000000131",1
21271748,"52_131000000133",2
21271748,"7_131000000133",3
21271748,"12716_131000000133",4
21271748,"12547_131000000133",5
21277216,"10915_331000000133",1
21277216,"12720_331000000133",2
21277216,"60_331000000133",3
21277216,"4_331000000133",4
21277216,"7_341041005133",5
21279599,"56_131000000133",1
21279599,"4_131000000133",2
21279599,"45_131000000113",3
21289001,"10892_131000000133",1
21289001,"10906_131000000133",2
21289001,"12547_131000000133",3
21289001,"30001_131000000133",4
21289001,"4_131000000133",5
21309410,"10915_331000000133",1
21309410,"60_331000000133",2
21309410,"56_331000000133",3
21309410,"12713_331000000133",4
21309410,"12587_331000000133",5
21312979,"12716_711000000133",1
21312979,"10892_711000000233",2
21312979,"9_711000000133",3
21319333,"4_131000000133",1
21319333,"5_131000000133",2
21319333,"10911_131000000133",3
21319333,"8_131000000133",4
21319333,"12716_131000000133",5
21319333,"12547_131000000133",6
21319333,"52_131000000133",7
21333204,"5_131000000133",1
21333204,"30001_131000000133",2
21333204,"10911_131000000133",3
21337007,"10915_311000000133",1
21337007,"60_311000000133",2
21344972,"67_711000000131",1
21344972,"50_711000000133",2
21346351,"30003_231000000133",1
21346351,"52_231000000133",2
21346351,"10892_231000000133",3
21346351,"4_231000000133",4
21346351,"8_231000000133",5
21346351,"12610_231000000133",6
21346351,"30001_231000000133",7
21346351,"1_231000000131",8
21346351,"40230_231000000133",9
21358320,"40395_611000000133",1
21358320,"22_611000000133",2
21358320,"12694_611000000133",3
21364962,"10915_231000000133",1
21364962,"10892_231000000133",2
21364962,"56_231000000133",3
21364962,"12587_231000000133",4
21367003,"10911_131000000133",1
21367003,"7_131000000133",2
21367003,"12713_131000000133",3
21367003,"25_131000000133",4
21367003,"1_131000000131",5
21368019,"10915_131000000133",1
21368019,"4_131000000133",2
21368019,"30001_131000000133",3
21368019,"52_131000000133",4
21382196,"12547_511000000133",1
21382196,"12570_511000000133",2
21382196,"40230_511000000133",3
21383848,"4_131000000133",1
21383848,"45_131000000113",2
21383848,"10892_131000000133",3
21394961,"12_611000000133",1
21394961,"10906_611000000133",2
21394961,"12659_611000000133",3
21394961,"9_611000000133",4
21394961,"13_611000000133",5
21422701,"10915_131000000133",1
21422701,"60_131000000133",2
21422701,"12547_131000000133",3
21433644,"4_131000000133",1
21433644,"56_131000000133",2
21455863,"10915_131000000133",1
21455863,"10906_131000000133",2
21455863,"60_131000000133",3
21457892,"9_411000000133",1
21457892,"60_411000000133",2
21457892,"10915_411000000133",3
21457892,"12587_411000000133",4
21457892,"12720_411000000133",5
21463909,"10915_611000000133",1
21463909,"40230_611000000133",2
21464324,"10915_611000000133",1
21464324,"60_611000000133",2
21464324,"12547_611000000133",3
21464324,"12720_611000000133",4
21464324,"50_611000000133",5
21464324,"52_611000000133",6
21464324,"12630_611000000133",7
