"rbd_cc","vacantes"
"8483_131000000133",20
"8483_231000000133",11
"8483_331000000133",28
"8483_431000000133",13
"8484_111000000133",5
"8484_211000000133",5
"8484_311000000133",4
"8484_411000000133",4
"8484_511000000133",3
"8484_611000000133",5
"8484_711000000133",4
"8484_811000000133",5
"11678_401000000232",35
"11678_501000000231",16
"11678_111000000131",16
"11678_211000000131",4
"11678_311000000133",2
"11678_411000000133",13
"11678_511000000133",1
"11678_611000000133",2
"11678_711000000133",4
"11678_811000000133",1
"11678_131000000133",5
"11678_231000000133",4
"11678_331000000133",2
"11678_431000000133",2
"11680_401000000133",26
"11680_501000000133",0
"11680_111000000133",2
"11680_211000000133",1
"11680_311000000133",0
"11680_411000000133",0
"11680_511000000133",0
"11680_611000000133",0
"11680_711000000133",0
"11680_811000000133",1
"11680_131000000133",0
"11680_231000000133",0
"11680_331000000133",2
"11680_431000000133",0
"11687_401000000133",24
"11687_501000000133",9
"11687_111000000133",17
"11687_211000000133",18
"11687_311000000133",12
"11687_411000000133",15
"11687_511000000133",14
"11687_611000000133",12
"11687_711000000133",14
"11687_811000000133",6
"16895_401000000131",35
"16895_501000000131",15
"16895_111000000133",8
"16895_211000000133",4
"16895_311000000133",0
"16895_411000000133",2
"16895_511000000133",7
"16895_611000000133",9
"16895_711000000133",0
"16895_811000000133",5
"24300_131000000133",99
"24300_231000000133",14
"24300_331000000133",31
"24300_431000000133",8
"24302_401000000131",25
"24302_401000000132",25
"24302_501000000131",13
"24302_501000000132",11
"24302_111000000131",30
"24302_211000000131",21
"24302_311000000133",12
"24302_411000000133",19
"24302_511000000133",12
"24302_611000000133",16
"24302_711000000133",20
"24302_811000000133",19
"24305_401000000133",34
"24305_501000000133",0
"24305_111000000133",11
"24305_211000000133",5
"24305_311000000133",0
"24305_411000000133",0
"24305_511000000133",0
"24305_611000000133",0
"24305_711000000133",1
"24305_811000000133",3
"24305_131000000133",3
"24305_231000000133",2
"24305_331000000133",3
"24305_431000000133",1
"24307_401000000232",64
"24307_501000000231",4
"24307_111000000231",7
"24307_211000000231",3
"24307_311000000233",10
"24307_411000000233",2
"24307_511000000233",24
"24307_611000000233",13
"24307_711000000133",6
"24307_811000000133",12
"24307_131000000133",13
"24307_231000000133",2
"24307_331000000133",4
"24307_431000000133",8
"24311_401000000232",25
"24311_501000000231",3
"24311_111000000232",7
"24311_211000000231",2
"24311_311000000133",2
"24311_411000000133",4
"24311_511000000133",4
"24311_611000000133",6
"24311_711000000133",13
"24311_811000000133",11
"24313_401000000131",31
"24313_401000000132",31
"24313_501000000131",11
"24313_501000000132",18
"24313_111000000131",25
"24313_211000000131",20
"24313_311000000133",19
"24313_411000000133",21
"24313_511000000133",19
"24313_611000000133",28
"24313_711000000133",16
"24313_811000000133",25
"24316_131000000133",118
"24316_231000000133",4
"24316_341041005133",2
"24316_351052010133",0
"24316_351053014133",0
"24316_361061003133",2
"24316_361063011133",1
"24316_441041005133",0
"24316_451052010133",2
"24316_451053014133",3
"24316_461061003133",3
"24316_461063009133",3
"24316_461063011133",2
"24317_401000000133",32
"24317_501000000133",1
"24317_111000000131",0
"24317_211000000131",1
"24317_311000000133",0
"24317_411000000133",0
"24317_511000000133",0
"24317_611000000133",0
"24317_711000000133",0
"24317_811000000133",0
"24317_131000000133",4
"24317_231000000133",0
"24317_331000000133",0
"24317_431000000133",0
"24318_401000000132",50
"24318_501000000131",16
"24318_111000000133",21
"24318_211000000133",9
"24318_311000000133",7
"24318_411000000133",5
"24318_511000000133",12
"24318_611000000133",6
"24318_711000000133",10
