"mrun","rbd_cc","preferencia_postulante"
1019851,"8437_711000000133",10
1026482,"11680_131000000133",1
1026482,"24327_131000000133",2
1026482,"24338_131000000133",3
1026482,"24305_131000000133",4
1026482,"8455_131000000113",5
1039370,"24307_611000000233",1
1039370,"8442_611000000133",2
1039370,"24327_611000000133",3
1039370,"11680_611000000133",4
1039370,"11678_611000000133",5
1039370,"8449_611000000133",6
1043239,"24307_131000000133",1
1043239,"24305_131000000133",2
1043239,"8458_131000000133",3
1043239,"24329_131000000123",4
1053632,"8421_131000000133",1
1053632,"24317_131000000133",2
1066572,"24338_711000000133",1
1066572,"24327_711000000133",2
1066572,"24313_711000000133",3
1090756,"8429_131000000133",1
1090756,"8442_131000000233",2
1090756,"8430_131000000133",3
1090756,"8427_131000000133",4
1090756,"24316_131000000133",5
1090756,"24307_131000000133",6
1091213,"24327_711000000133",1
1091213,"8424_711000000133",2
1091213,"24329_711000000123",3
1091213,"8458_711000000133",4
1104148,"8427_131000000133",1
1104148,"8454_131000000123",2
1104148,"24329_131000000123",3
1104148,"8425_131000000133",4
1104148,"8458_131000000133",5
1128447,"11680_811000000133",1
1128447,"24307_811000000133",2
1128447,"24305_811000000133",3
1128447,"24311_811000000133",4
1134806,"11680_131000000133",1
1134806,"24307_131000000133",2
1134806,"24305_131000000133",3
1134806,"24327_131000000133",4
1159528,"24307_131000000133",1
1159528,"8429_131000000133",2
1159528,"11680_131000000133",3
1159528,"24329_131000000123",4
1160603,"8458_131000000133",1
1160603,"8457_131000000113",2
1186791,"24305_411000000133",1
1186791,"24311_411000000133",2
1186791,"24329_411000000123",3
1186791,"8434_411000000133",4
1190569,"8454_131000000123",1
1190569,"8427_131000000133",2
1190569,"8425_131000000133",3
1191399,"24327_411000000133",1
1191399,"11680_411000000133",2
1191399,"8439_411000000133",3
1210103,"24307_511000000233",1
1210103,"11680_511000000133",2
1210103,"24313_511000000133",3
1214765,"24305_131000000133",1
1214765,"24329_131000000123",2
1217524,"24327_131000000133",1
1217524,"11680_131000000133",2
1217524,"24307_131000000133",3
1225185,"8458_711000000133",1
1225185,"24318_711000000133",2
1232100,"24327_611000000133",1
1232100,"8437_611000000133",2
1239441,"8454_131000000123",1
1239441,"8427_131000000133",2
1247065,"8427_131000000133",1
1247065,"24316_131000000133",2
1247065,"8425_131000000133",3
1251879,"24327_811000000133",1
1251879,"24307_811000000133",2
1251879,"24305_811000000133",3
