"rbd_cc","seats_total","seats_regular","seats_priority","seats_high_performance","seats_female"
"8441_311000000133",21,6,6,3,6
"8441_411000000133",25,5,8,4,8
"8441_511000000133",15,5,4,2,4
"8441_611000000133",15,5,4,2,4
"8441_711000000133",21,6,6,3,6
"8441_811000000133",16,4,5,2,5
"8442_401000000133",70,18,21,10,21
"8442_501000000133",41,11,12,6,12
"8442_111000000133",32,7,10,5,10
"8442_211000000133",27,7,8,4,8
"8442_311000000133",16,4,5,2,5
"8442_411000000133",23,6,7,3,7
"8442_511000000133",18,5,5,3,5
"8442_611000000133",11,3,3,2,3
"8442_711000000133",19,4,6,3,6
"8442_811000000133",7,2,2,1,2
"8442_131000000233",53,13,16,8,16
"8442_231000000233",21,6,6,3,6
"8442_331000000233",22,5,7,3,7
"8442_431000000233",3,1,1,0,1
"8444_401000000133",27,7,8,4,8
"8444_501000000133",12,2,4,2,4
"8444_111000000133",49,12,15,7,15
"8444_211000000133",42,10,13,6,13
"8444_311000000133",27,7,8,4,8
"8444_411000000133",18,5,5,3,5
"8444_511000000133",15,5,4,2,4
"8444_611000000133",20,5,6,3,6
"8444_711000000133",21,6,6,3,6
"8444_811000000133",27,7,8,4,8
"8448_401000000133",14,4,4,2,4
"8448_501000000133",6,1,2,1,2
"8448_111000000133",19,4,6,3,6
"8448_211000000133",11,3,3,2,3
"8448_311000000133",11,3,3,2,3
"8448_411000000133",12,2,4,2,4
"8448_511000000133",16,4,5,2,5
"8448_611000000133",9,2,3,1,3
"8448_711000000133",12,2,4,2,4
"8448_811000000133",8,3,2,1,2
"8449_401000000133",28,8,8,4,8
"8449_501000000133",11,3,3,2,3
"8449_111000000133",7,2,2,1,2
"8449_211000000133",4,1,1,1,1
"8449_311000000133",3,1,1,0,1
"8449_411000000133",7,2,2,1,2
"8449_511000000133",3,1,1,0,1
"8449_611000000133",3,1,1,0,1
"8449_711000000133",4,1,1,1,1
"8449_811000000133",0,0,0,0,0
"8450_401000000133",13,3,4,2,4
"8450_501000000133",1,1,0,0,0
"8450_111000000133",7,2,2,1,2
"8450_211000000133",4,1,1,1,1
"8450_311000000133",5,0,2,1,2
"8450_411000000133",7,2,2,1,2
"8450_511000000133",5,0,2,1,2
"8450_611000000133",5,0,2,1,2
"8452_401000000131",5,0,2,1,2
"8452_501000000131",1,1,0,0,0
"8452_111000000131",6,1,2,1,2
"8452_211000000131",5,0,2,1,2
"8452_311000000131",8,3,2,1,2
"8452_411000000131",6,1,2,1,2
"8452_511000000131",9,2,3,1,3
"8452_611000000131",5,0,2,1,2
"8452_711000000131",8,3,2,1,2
"8452_811000000131",9,2,3,1,3
"8454_401000000222",50,12,15,8,15
"8454_501000000221",57,14,17,9,17
"8454_111000000121",45,10,14,7,14
"8454_211000000121",27,7,8,4,8
"8454_311000000123",13,3,4,2,4
"8454_411000000123",14,4,4,2,4
"8454_511000000123",12,2,4,2,4
"8454_611000000123",14,4,4,2,4
"8454_711000000123",50,12,15,8,15
"8454_811000000123",35,10,10,5,10
"8454_131000000123",61,16,18,9,18
"8454_231000000123",28,8,8,4,8
"8454_351052010123",2,0,1,0,1
"8454_351053014123",4,1,1,1,1
"8454_351053015123",11,3,3,2,3
"8454_351058035123",2,0,1,0,1
"8454_451052010123",11,3,3,2,3
"8454_451053014123",4,1,1,1,1
"8454_451053015123",11,3,3,2,3
"8454_451058035123",7,2,2,1,2
"8455_501000000111",35,10,10,5,10
"8455_111000000113",52,12,16,8,16
"8455_211000000113",40,10,12,6,12
"8455_311000000113",8,3,2,1,2
"8455_411000000113",13,3,4,2,4
"8455_511000000113",5,0,2,1,2
"8455_611000000113",1,1,0,0,0
"8455_711000000113",17,4,5,3,5
"8455_811000000113",13,3,4,2,4
"8455_131000000113",24,6,7,4,7
"8455_231000000113",11,3,3,2,3
