"mrun","female","priority","high_performance"
5261691,0,1,0
5263888,1,1,0
5270152,1,1,1
5334666,1,0,0
5341643,1,0,0
5341789,1,0,0
5344244,0,1,0
5349577,1,1,0
5371780,0,1,0
5377886,1,1,0
5401023,0,0,0
5402372,0,1,0
5414813,0,1,1
5415080,1,1,1
5417955,0,1,0
5419884,1,1,0
5480774,1,0,0
5488318,1,0,0
5495537,1,1,0
5499596,0,1,0
5520010,1,1,0
5521140,1,0,0
5522756,0,1,1
5526928,0,1,0
5538797,0,1,0
5568022,0,1,0
5577551,0,0,0
5593164,0,0,0
5595286,1,0,1
5603940,1,1,0
5616176,0,0,0
5616853,1,1,0
5623917,1,0,0
5629226,1,1,0
5635373,0,1,0
5637680,0,1,0
5638900,0,1,0
5661452,0,0,0
5666829,1,1,0
5687623,0,0,0
5699368,1,1,0
5704360,0,1,1
5715477,0,0,0
5731762,1,0,0
5735440,1,0,0
5746689,1,0,0
5755441,1,1,0
5757628,1,1,0
5758360,1,1,1
5774766,1,0,1
5795128,0,0,1
5799710,0,1,0
5805545,1,1,0
5809761,1,1,0
5838771,1,0,0
5846833,1,0,0
5849749,0,1,0
5860191,0,1,0
5878349,1,0,0
5887070,0,0,0
5902044,1,0,0
5914906,0,0,0
5925022,1,1,0
5935075,1,1,0
5940524,0,1,0
5943272,1,0,0
5945413,0,0,1
5952432,1,1,0
5961933,1,1,0
5962313,1,1,0
5973910,0,1,0
5990152,0,1,0
6010357,1,1,0
6013707,1,1,0
6015247,1,0,0
6023629,0,1,0
6028632,1,0,0
6029144,0,1,0
6032099,0,0,1
6047508,0,1,0
6049278,1,1,0
6049947,0,0,0
6055598,0,0,0
6068027,1,0,0
6078618,0,1,1
6090016,0,1,0
6137639,0,1,0
6153195,1,0,1
6158494,0,1,0
6167189,0,0,0
6175957,1,0,0
6185587,0,1,1
6203584,1,0,0
6208274,0,1,0
6219035,1,0,1
6220402,1,1,1
6221451,1,0,0
6236141,1,0,1
6241332,1,1,1
6242155,0,0,0
6244522,0,1,1
6250465,1,0,1
6250542,0,0,0
6254972,0,1,0
6255780,0,0,0
6269623,1,1,0
6293857,0,1,0
6323531,0,1,0
6341033,1,1,0
6342999,0,0,0
6359649,0,0,1
6362207,1,1,0
6369206,0,1,0
6370459,1,0,1
6371528,1,0,0
6375974,1,0,0
6385947,1,1,0
6387264,1,0,0
6399069,0,0,0
6403552,1,1,0
6403918,0,0,0
6412118,1,1,1
6421468,0,1,0
6422954,1,0,0
6427665,1,1,0
6435710,1,1,1
6474141,0,1,0
6492375,1,1,0
6497899,0,1,0
6520187,1,1,0
6525428,1,1,0
6528185,0,1,0
6532712,0,0,0
6541901,1,0,1
6550804,0,0,0
6551483,1,0,1
6560854,0,0,1
6567657,1,1,0
6574233,1,0,0
6591818,1,0,0
6600372,0,1,1
6615241,1,0,0
6616186,1,0,0
6619334,1,1,0
6635165,0,1,0
6641878,0,0,0
6646169,0,1,0
6649413,0,0,0
6685956,0,0,0
6692779,1,0,0
6698919,0,0,0
6705277,1,0,0
6709771,0,0,0
6716935,0,0,0
6734656,1,0,1
6754922,0,0,0
6798275,1,1,1
6821492,1,1,0
6838478,0,0,0
6839942,0,1,0
6845226,0,1,0
6861834,0,0,1
6866109,0,1,0
6866565,1,1,0
6868167,1,1,0
6874692,1,1,0
6874900,0,1,1
6895106,0,0,1
6895147,1,1,0
6901459,0,0,0
6904046,1,0,0
6904982,0,0,0
6920047,0,1,0
6926927,1,0,0
6932929,0,0,0
6935718,1,1,0
6953940,0,1,0
6955286,1,1,0
6956404,0,1,0
6966777,1,1,0
6968821,1,0,0
6970219,0,1,0
6982298,1,0,0
6982461,0,0,0
6986169,0,0,0
6995330,1,0,1
7009276,0,1,1
7022981,1,1,0
7023373,1,1,0
7028032,1,1,1
7051199,1,1,0
7055168,0,1,0
7060560,1,1,0
7062771,0,0,0
7065999,1,1,1
7071274,1,0,0
7097546,0,1,1
7111817,1,0,0
7122674,1,0,0
7133923,1,0,0
7147382,0,1,0
7149521,0,0,0
7151395,1,1,0
7163116,0,0,0
7183293,0,0,1
7183956,0,0,0
7185120,0,1,1
7194634,0,0,0
7195803,1,1,0
7217994,1,1,0
7219617,1,1,0
7223711,0,1,0
7225203,0,1,1
7227830,0,1,0
7241002,0,1,0
7241178,1,1,0
7243249,0,0,0
7260809,0,1,0
7270306,0,0,1
7272881,1,0,0
7276125,0,1,0
7278580,0,0,0
7284298,0,1,0
7294182,0,1,1
7307883,0,1,0
7309514,0,1,0
7309871,1,1,0
7316208,0,0,0
7330330,1,0,0
7341266,1,1,0
7341923,0,0,0
7362405,0,1,1
7368709,1,1,1
7378823,1,1,0
7379444,1,1,0
7383688,1,0,0
7395839,0,0,0
7395843,1,0,0
7396443,0,1,0
7396630,0,0,0
7396861,0,1,0
7401395,1,0,0
