"mrun","rbd_cc","preferencia_postulante"
291523,"583_511000000133",3
294904,"12779_431000000133",1
294904,"565_431000000133",2
294904,"573_431000000133",3
294904,"13604_431000000133",4
294904,"13633_431000000133",5
294904,"579_431000000133",6
294904,"583_431000000133",7
294904,"570_431000000133",8
294904,"40298_431000000133",9
294904,"629_451054018133",10
297306,"13305_331000000133",1
297306,"40231_331000000133",2
297306,"12779_331000000133",3
297860,"13558_711000000133",1
297860,"13612_711000000133",2
299653,"516_131000000133",1
299653,"518_131000000133",2
299653,"13333_131000000133",3
302661,"768_131000000113",1
302661,"705_131000000133",2
302661,"11106_131000000133",3
302661,"40126_131000000133",4
304232,"40319_131000000133",1
304232,"1036_131000000133",2
306327,"666_711000000133",1
306327,"13512_711000000133",2
306327,"31203_711000000133",3
314308,"13446_411000000123",1
314308,"530_411000000133",2
314308,"526_411000000133",3
314308,"539_411000000133",4
315099,"575_131000000113",1
315099,"579_131000000133",2
315099,"570_131000000133",3
315099,"567_131000000133",4
317210,"573_811000000133",1
317210,"13491_811000000133",2
319269,"704_131000000133",1
319269,"769_131000000133",2
319269,"766_131000000133",3
319269,"13513_131000000133",4
319269,"11106_131000000133",5
319269,"767_131000000133",6
319269,"774_131000000133",7
320859,"578_131000000133",1
320859,"11155_131000000133",2
320859,"13576_131000000133",3
320859,"574_131000000123",4
323762,"11157_131000000133",1
323762,"573_131000000133",2
323762,"13360_131000000133",3
323762,"583_131000000133",4
323762,"570_131000000133",5
324702,"1048_131000000133",1
324702,"13486_131000000133",2
342216,"573_131000000133",1
342216,"13503_131000000133",2
342216,"583_131000000133",3
342216,"579_131000000133",4
342216,"40298_131000000133",5
342216,"570_131000000133",6
342216,"13489_131000000113",7
342216,"11145_131000000133",8
345077,"11106_811000000133",1
345077,"763_811000000133",2
345404,"13356_511000000131",1
345404,"589_511000000133",2
345404,"13372_511000000133",3
345404,"13503_511000000133",4
346622,"690_311000000133",1
346622,"31203_311000000133",2
348219,"566_311000000133",1
348219,"13384_311000000133",2
349916,"13344_131000000133",1
349916,"13420_131000000133",2
349916,"13576_131000000133",3
349916,"11155_131000000133",4
351448,"799_131000000133",1
351448,"704_131000000133",2
351448,"802_131000000133",3
351448,"763_131000000133",4
351448,"13439_131000000133",5
353494,"13372_131000000133",1
353494,"40231_131000000133",2
353494,"13388_131000000233",3
353494,"579_131000000133",4
353494,"13446_131000000113",5
353494,"13489_131000000113",6
358110,"526_511000000133",1
358110,"40298_511000000133",2
358110,"31194_511000000133",3
358110,"40231_511000000133",4
358110,"13356_511000000131",5
358110,"535_511000000133",6
358110,"12779_511000000133",7
358110,"13360_511000000133",8
358110,"13535_511000000133",9
358110,"573_511000000133",10
358110,"13305_511000000133",11
358255,"1036_231000000133",1
358255,"13627_231000000133",2
363689,"767_131000000133",1
363689,"11106_131000000133",2
363689,"772_171072007133",3
363689,"766_131000000133",4
363689,"704_131000000133",5
369143,"1036_131000000133",1
369256,"579_511000000133",1
369256,"568_511000000133",2
369256,"13565_511000000133",3
369256,"13384_511000000133",4
369383,"11144_131000000133",1
369383,"11139_131000000133",2
369383,"11105_131000000133",3
369383,"40208_131000000133",4
369383,"13489_131000000113",5
371722,"704_711000000133",1
371722,"708_711000000133",2
371958,"13314_131000000133",1
371958,"647_131000000133",2
371958,"13561_131000000133",3
371958,"13324_131000000233",4
372208,"766_411000000133",1
372208,"11106_411000000133",2
372208,"769_411000000133",3
372208,"763_411000000133",4
372208,"767_411000000133",5
372208,"709_411000000133",6
378499,"11133_231000000131",1
378499,"13445_231000000131",2
378499,"13445_231000000132",3
378499,"13553_231000000133",4
378499,"649_231000000133",5
378499,"609_231000000133",6
378740,"13384_131000000133",1
378740,"13565_131000000133",2
378740,"13344_131000000133",3
378740,"579_131000000133",4
378740,"40298_131000000133",5
378740,"517_131000000133",6
379406,"707_311000000113",1
379406,"711_311000000133",2
383383,"579_711000000133",1
383383,"583_711000000133",2
383383,"573_711000000133",3
383383,"13514_711000000133",4
383958,"583_131000000133",1
383958,"568_131000000133",2
383958,"570_131000000133",3
383958,"579_131000000133",4
383958,"567_131000000133",5
383958,"575_131000000113",6
383958,"13384_131000000133",7
383958,"13586_131000000133",8
385203,"628_611000000133",1
385203,"13491_611000000133",2
385203,"11144_611000000133",3
385203,"40064_611000000133",4
385203,"13604_611000000133",5
385203,"13504_611000000133",6
385607,"13420_131000000133",1
385607,"13576_131000000133",2
385607,"518_131000000133",3
385607,"11155_131000000133",4
386363,"13504_711000000133",1
386363,"637_711000000133",2
386529,"40126_131000000133",1
386529,"772_171072007133",2
386529,"705_131000000133",3
386844,"31194_131000000133",1
386844,"573_131000000133",2
386844,"13356_131000000133",3
386844,"526_131000000133",4
386844,"40298_131000000133",5
386844,"589_131000000133",6
386844,"13360_131000000133",7
388080,"13442_611000000133",1
388080,"13324_611000000233",2
388080,"13314_611000000133",3
388080,"13608_611000000133",4
388080,"13313_611000000133",5
388080,"655_611000000133",6
388080,"13361_611000000133",7
388147,"704_711000000133",1
388147,"766_711000000133",2
388147,"707_711000000113",3
390394,"568_711000000133",1
390394,"13376_711000000133",2
390580,"13352_131000000133",1
390763,"656_131000000133",1
390763,"664_131000000133",2
392228,"526_511000000133",1
392228,"13356_511000000131",2
392228,"579_511000000133",3
392228,"13305_511000000133",4
392228,"583_511000000133",5
392228,"13535_511000000133",6
392228,"13373_511000000133",7
393904,"11130_511000000133",1
393904,"970_511000000133",2
393904,"971_511000000113",3
396200,"13486_131000000133",1
396200,"1048_131000000133",2
396200,"987_131000000133",3
398978,"13576_131000000133",1
398978,"574_131000000123",2
398978,"518_131000000133",3
398978,"11155_131000000133",4
398978,"516_131000000133",5
398978,"13420_131000000133",6
398978,"13384_131000000133",7
398978,"517_131000000133",8
398978,"578_131000000133",9
398978,"530_131000000133",10
399330,"12779_611000000133",1
399330,"13305_611000000133",2
401262,"13384_611000000133",1
401262,"579_611000000133",2
401262,"11114_611000000133",3
401262,"583_611000000133",4
401262,"13417_611000000133",5
401262,"525_611000000133",6
401392,"13361_411000000133",1
401392,"648_411000000133",2
401392,"647_411000000133",3
404017,"517_431000000133",1
404017,"516_431000000133",2
