"rbd_cc","vacantes"
"656_341041005133",21
"656_351053014133",11
"656_351053015133",8
"656_431000000133",38
"656_441041005133",25
"656_451053014133",0
"656_451053015133",1
"657_401000000133",45
"657_501000000133",34
"657_111000000133",33
"657_211000000133",29
"657_311000000133",30
"657_411000000133",28
"657_511000000133",26
"657_611000000133",22
"657_711000000133",24
"657_811000000133",16
"658_401000000132",30
"658_501000000131",7
"658_111000000133",3
"658_211000000133",0
"658_311000000133",8
"658_411000000133",5
"658_511000000133",4
"658_611000000133",2
"658_711000000133",5
"658_811000000133",4
"659_111000000133",5
"659_211000000133",5
"659_311000000133",2
"659_411000000133",3
"659_511000000133",4
"659_611000000133",5
"661_111000000133",5
"661_211000000133",0
"661_311000000133",0
"661_411000000133",0
"661_511000000133",0
"661_611000000133",1
"662_111000000133",5
"662_211000000133",4
"662_311000000133",5
"662_411000000133",2
"662_511000000133",1
"662_611000000133",3
"664_401000000132",70
"664_501000000131",49
"664_111000000131",39
"664_211000000131",23
"664_311000000133",25
"664_411000000133",29
"664_511000000133",19
"664_611000000133",20
"664_711000000133",12
"664_811000000133",1
"664_131000000133",21
"664_231000000133",5
"664_331000000133",34
"664_431000000133",46
"665_131000000133",147
"665_231000000133",22
"665_331000000133",13
"665_351052010133",6
"665_351052013133",7
"665_361063009133",13
"665_361064001133",15
"665_371072007133",6
"665_431000000133",24
"665_451052010133",12
"665_451052013133",6
"665_461063009133",7
"665_461064001133",7
"665_471072007133",7
"666_401000000131",25
"666_501000000131",17
"666_111000000133",31
"666_211000000133",20
"666_311000000133",24
"666_411000000133",48
"666_511000000133",68
"666_611000000133",9
"666_711000000133",54
"666_811000000133",47
"668_401000000133",20
"668_501000000133",5
"668_111000000133",12
"668_211000000133",3
"668_311000000133",7
"668_411000000133",0
"668_511000000133",0
"668_611000000133",3
"668_711000000133",0
"668_811000000133",1
"668_131000000133",5
"668_231000000133",2
"668_331000000133",7
"668_431000000133",14
"669_401000000131",20
"669_501000000131",14
"669_111000000133",14
"669_211000000133",19
"669_311000000133",16
"669_411000000133",21
"669_511000000133",15
"669_611000000133",10
"669_711000000133",9
"669_811000000133",2
"671_401000000133",35
"671_501000000133",33
"671_111000000133",36
"671_211000000133",36
"671_311000000133",35
"671_411000000133",32
"671_511000000133",38
"671_611000000133",33
"671_711000000133",28
"671_811000000133",30
"672_401000000133",20
"672_501000000133",13
"672_111000000133",22
"672_211000000133",7
"672_311000000133",7
"672_411000000133",6
"672_511000000133",12
"672_611000000133",8
"672_711000000133",5
"672_811000000133",10
"673_401000000133",15
"673_501000000133",0
"673_111000000133",16
"673_211000000133",0
"673_311000000133",0
"673_411000000133",0
"673_511000000133",5
"673_611000000133",0
"673_711000000133",0
"673_811000000133",0
"674_111000000133",2
"674_211000000133",2
"674_311000000133",0
"674_411000000133",2
"674_511000000133",0
"674_611000000133",2
"676_111000000133",5
"676_211000000133",4
"676_311000000133",1
"676_411000000133",4
"676_511000000133",4
"676_611000000133",5
"678_401000000131",5
"678_501000000131",2
"678_111000000133",3
"678_211000000133",2
"678_311000000133",2
"678_411000000133",3
"678_511000000133",8
"678_611000000133",9
"680_401000000131",15
"680_501000000131",8
"680_111000000133",11
"680_211000000133",10
"680_311000000133",5
"680_411000000133",9
"680_511000000133",6
"680_611000000133",10
"680_711000000133",12
"680_811000000133",11
"681_111000000133",4
"681_211000000133",1
"681_311000000133",7
"681_411000000133",0
"681_511000000133",1
"681_611000000133",4
"682_401000000131",12
"682_501000000131",5
"682_111000000133",14
"682_211000000133",13
"682_311000000133",11
"682_411000000133",4
"682_511000000133",15
"682_611000000133",5
"682_711000000133",10
"682_811000000133",16
"683_111000000133",5
"683_211000000133",6
"683_311000000133",5
"683_411000000133",6
"683_511000000133",3
"683_611000000133",6
"686_401000000131",12
"686_501000000131",5
"686_111000000133",7
"686_211000000133",5
"686_311000000133",2
"686_411000000133",8
"686_511000000133",4
"686_611000000133",3
"687_111000000133",3
"687_211000000133",3
"687_311000000133",1
"687_411000000133",1
"687_511000000133",3
"687_611000000133",3
"688_111000000133",4
"688_211000000133",3
"688_311000000133",4
"688_411000000133",4
"688_511000000133",7
"688_611000000133",0
"689_111000000133",6
"689_211000000133",5
"689_311000000133",5
"689_411000000133",5
"689_511000000133",5
"689_611000000133",6
"690_401000000132",45
"690_501000000131",11
"690_111000000131",3
"690_111000000132",24
"690_211000000131",1
"690_211000000132",17
"690_311000000133",16
"690_411000000133",9
"690_511000000133",0
"690_611000000133",4
"690_711000000133",0
"690_811000000133",8
"690_131000000133",3
"690_231000000133",3
"690_331000000133",2
"690_431000000133",4
"691_401000000131",16
"691_501000000131",5
"691_111000000133",6
"691_211000000133",7
"691_311000000133",6
"691_411000000133",6
"691_511000000133",5
"691_611000000133",5
"691_711000000133",7
"691_811000000133",4
"692_401000000133",20
"692_501000000133",9
"692_111000000133",5
"692_211000000133",11
"692_311000000133",3
"692_411000000133",7
"692_511000000133",4
"692_611000000133",6
"692_711000000133",11
"692_811000000133",3
"693_111000000133",4
"693_211000000133",2
"693_311000000133",1
"693_411000000133",2
"693_511000000133",3
"693_611000000133",2
"694_401000000131",20
"694_501000000131",11
"694_111000000133",14
"694_211000000133",16
"694_311000000133",10
"694_411000000133",7
"694_511000000133",5
"694_611000000133",13
"694_711000000133",16
"694_811000000133",1
"695_111000000133",5
"695_211000000133",4
"695_311000000133",3
"695_411000000133",4
"695_511000000133",3
"695_611000000133",1
"696_111000000133",4
"696_211000000133",2
"696_311000000133",1
"696_411000000133",3
"696_511000000133",3
"696_611000000133",2
"697_111000000133",1
"697_211000000133",0
"697_311000000133",0
"697_411000000133",1
"697_511000000133",0
"697_611000000133",0
"699_111000000133",4
"699_211000000133",3
"699_311000000133",2
"699_411000000133",2
"699_511000000133",4
"699_611000000133",1
"701_131000000133",166
"701_231000000133",36
"701_331000000133",22
"701_431000000133",32
"704_711000000133",149
"704_811000000133",7
"704_131000000133",3
"704_231000000133",7
"704_331000000133",1
"704_431000000133",3
"705_131000000133",280
"705_231000000133",5
"705_351051003133",9
"705_351052009133",6
"705_351052010133",4
"705_351052013133",4
"705_351053014133",5
"705_351053015133",10
"705_351055023133",4
"705_451051003133",4
"705_451052009133",3
"705_451052010133",1
"705_451052013133",0
"705_451053014133",0
"705_451053015133",0
"705_451055023133",0
"706_401000000133",46
"706_501000000133",11
"706_111000000133",45
"706_211000000133",32
"706_311000000133",20
"706_411000000133",23
"706_511000000133",19
"706_611000000133",20
"706_711000000133",43
"706_811000000133",32
"707_401000000113",20
"707_501000000113",18
"707_111000000113",46
"707_211000000113",27
"707_311000000113",8
"707_411000000113",15
"707_511000000113",20
"707_611000000113",26
"707_711000000113",54
"707_811000000113",49
"708_401000000133",25
"708_501000000133",4
"708_111000000133",17
"708_211000000133",10
"708_311000000133",1
"708_411000000133",2
"708_511000000133",4
"708_611000000133",1
"708_711000000133",15
"708_811000000133",11
"709_401000000133",30
"709_501000000133",12
"709_111000000133",19
"709_211000000133",11
"709_311000000133",8
"709_411000000133",6
"709_511000000133",3
"709_611000000133",6
"709_711000000133",5
"709_811000000133",2
"710_401000000133",24
"710_501000000133",18
"710_111000000133",19
"710_211000000133",13
"710_311000000133",13
"710_411000000133",8
"710_511000000133",12
"710_611000000133",9
"710_711000000133",11
"710_811000000133",13
"711_401000000133",35
"711_501000000133",27
"711_111000000133",18
"711_211000000133",7
"711_311000000133",10
"711_411000000133",8
"711_511000000133",32
"711_611000000133",27
"711_711000000133",37
"711_811000000133",31
"712_401000000133",40
"712_501000000133",7
"712_111000000133",7
"712_211000000133",41
"712_311000000133",13
"712_411000000133",7
"712_511000000133",17
"712_611000000133",11
"712_711000000133",31
"712_811000000133",32
"713_401000000133",24
"713_501000000133",8
"713_111000000133",22
"713_211000000133",18
"713_311000000133",14
"713_411000000133",23
"713_511000000133",5
"713_611000000133",7
"713_711000000133",10
"713_811000000133",23
"714_401000000133",20
"714_501000000133",28
"714_111000000133",43
"714_211000000133",25
"714_311000000133",29
"714_411000000133",14
"714_511000000133",16
"714_611000000133",5
"714_711000000133",27
"714_811000000133",37
"715_401000000133",20
"715_501000000133",10
"715_111000000133",17
"715_211000000133",17
"715_311000000133",13
"715_411000000133",7
"715_511000000133",15
"715_611000000133",12
"715_711000000133",18
"715_811000000133",15
"716_401000000133",40
"716_501000000133",14
"716_111000000133",30
"716_211000000133",18
"716_311000000133",29
"716_411000000133",26
"716_511000000133",25
"716_611000000133",16
"716_711000000133",33
"716_811000000133",24
"718_401000000133",22
"718_501000000133",13
"718_111000000133",5
"718_211000000133",12
"718_311000000133",1
"718_411000000133",4
"718_511000000133",5
"718_611000000133",10
"718_711000000133",12
"718_811000000133",16
"721_401000000133",25
"721_501000000133",4
"721_111000000133",49
"721_211000000133",29
"721_311000000133",18
"721_411000000133",11
"721_511000000133",8
"721_611000000133",15
"721_711000000133",24
"721_811000000133",13
"722_401000000133",30
"722_501000000133",17
"722_111000000133",17
"722_211000000133",3
"722_311000000133",5
"722_411000000133",12
"722_511000000133",13
"722_611000000133",4
"722_711000000133",14
"722_811000000133",17
"723_111000000133",5
"723_211000000133",2
"723_311000000133",4
"723_411000000133",2
"723_511000000133",1
"723_611000000133",1
"724_111000000133",5
"724_211000000133",4
"724_311000000133",4
"724_411000000133",5
"724_511000000133",5
